id,host_id,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Location
1125097,6172214,within a few hours,100%,98%,Angaston,-34.49563,139.0293,Entire cottage,Entire home/apt,2,1 bath,1.0,[],$254.00,199,24,0,2013-09-13,2023-11-18,4.88,4.96,4.89,4.99,4.98,4.97,4.75,1.59,barossa_valley_sa
1133195,6172214,within a few hours,100%,98%,Angaston,-34.49538,139.03086,Entire cottage,Entire home/apt,2,1 bath,1.0,[],$236.00,73,10,0,2014-09-30,2023-11-05,4.84,4.82,4.88,4.99,4.9,4.93,4.68,0.65,barossa_valley_sa
1133236,6172214,within a few hours,100%,98%,Penrice,-34.49372,139.03199,Private room in rental unit,Private room,2,1 private bath,1.0,[],$260.00,64,6,0,2014-01-27,2023-11-05,4.89,4.92,4.89,4.95,4.92,4.92,4.64,0.53,barossa_valley_sa
1710462,6645956,within an hour,100%,100%,Shea-Oak Log,-34.51049,138.81731,Entire cabin,Entire home/apt,2,1 bath,1.0,[],$111.00,548,38,1,2013-11-03,2023-12-12,4.76,4.83,4.71,4.97,4.95,4.6,4.83,4.44,barossa_valley_sa
1787389,9380091,within an hour,100%,100%,Tanunda,-34.52737,138.953,Entire rental unit,Entire home/apt,4,2 baths,2.0,[],$458.00,18,1,0,2016-01-05,2023-01-08,4.39,4.61,4.78,4.89,4.89,4.89,4.12,0.19,barossa_valley_sa
2028951,10421165,within an hour,100%,100%,Lyndoch,-34.60392,138.88311,Entire vacation home,Entire home/apt,4,1 bath,2.0,[],$158.00,19,11,0,2022-04-10,2023-10-08,4.68,4.74,4.84,4.89,4.84,4.63,4.53,0.91,barossa_valley_sa
2327616,6713275,within an hour,100%,100%,Gawler River,-34.60549,138.64723,Entire guesthouse,Entire home/apt,3,1 bath,2.0,[],$97.00,173,34,1,2015-02-17,2023-12-04,4.73,4.78,4.63,4.92,4.91,4.83,4.76,1.6,barossa_valley_sa
5289072,27321203,within a few hours,100%,83%,Flaxman Valley,-34.56405,139.07988,Entire cabin,Entire home/apt,6,2 baths,3.0,[],$220.00,126,3,1,2015-10-26,2023-12-16,4.95,4.95,4.94,4.98,4.98,4.96,4.91,1.27,barossa_valley_sa
5537173,28712482,within an hour,100%,100%,Lyndoch,-34.58503,138.86457,Entire villa,Entire home/apt,2,1 bath,1.0,[],$425.00,34,1,0,2018-09-23,2023-06-03,4.94,4.97,5.0,4.94,4.97,4.91,4.8,0.53,barossa_valley_sa
6170279,32013001,within an hour,100%,100%,Tanunda,-34.50938,138.97314,Entire cottage,Entire home/apt,2,1 bath,1.0,[],$196.00,168,8,1,2015-06-10,2023-11-26,4.89,4.97,4.87,4.99,4.99,4.9,4.81,1.61,barossa_valley_sa
6170887,32017867,within a day,100%,50%,Nuriootpa,-34.47753,138.99632,Entire cottage,Entire home/apt,6,1 bath,4.0,[],$400.00,30,0,0,2015-05-31,2022-09-26,4.67,4.53,4.87,4.9,4.77,4.77,4.63,0.29,barossa_valley_sa
6296823,32743215,within an hour,100%,100%,Tanunda,-34.50398,138.96065,Entire cottage,Entire home/apt,4,1 bath,2.0,[],$319.00,89,6,0,2015-05-24,2023-10-02,4.91,4.95,4.95,4.92,4.92,4.92,4.83,0.85,barossa_valley_sa
6886387,36084981,within an hour,100%,75%,Angaston,-34.49101,139.01777,Entire guesthouse,Entire home/apt,2,1 bath,1.0,[],$91.00,316,2,1,2015-06-24,2023-12-15,4.78,4.88,4.89,4.95,4.96,4.83,4.8,3.05,barossa_valley_sa
7297171,26147078,within an hour,100%,100%,Angaston,-34.50003,139.03542,Private room in rental unit,Private room,2,1 shared bath,1.0,[],$95.00,149,0,0,2015-08-31,2019-04-28,4.82,4.9,4.86,4.86,4.92,4.93,4.83,1.47,barossa_valley_sa
9264671,17055114,within an hour,100%,100%,Tanunda,-34.52982,138.95272,Private room in guest suite,Private room,2,1 private bath,1.0,[],$146.00,29,2,1,2016-03-29,2023-12-12,4.62,4.76,4.97,4.89,5.0,4.79,4.64,0.31,barossa_valley_sa
9319789,17055114,within an hour,100%,100%,Tanunda,-34.52808,138.95335,Entire home,Entire home/apt,11,3 baths,5.0,[],$852.00,102,17,2,2016-04-25,2023-12-17,4.9,4.88,4.94,4.99,4.99,4.97,4.74,1.09,barossa_valley_sa
9319994,17055114,within an hour,100%,100%,Tanunda,-34.52751,138.95261,Entire home,Entire home/apt,6,3 baths,3.0,[],$489.00,69,10,0,2016-06-20,2023-09-25,4.88,4.88,4.96,4.94,4.97,4.97,4.71,0.75,barossa_valley_sa
9453124,17055114,within an hour,100%,100%,Tanunda,-34.52797,138.95259,Entire home,Entire home/apt,8,3 baths,4.0,[],$708.00,38,6,0,2016-01-02,2023-07-30,4.89,4.87,5.0,5.0,4.97,4.97,4.71,0.39,barossa_valley_sa
9714178,50149490,within an hour,100%,100%,Tanunda,-34.52206,138.96239,Entire home,Entire home/apt,6,2.5 baths,3.0,[],$515.00,89,26,1,2016-04-25,2023-12-18,5.0,4.99,5.0,5.0,5.0,4.99,4.93,0.95,barossa_valley_sa
10285222,9380091,within an hour,100%,100%,Tanunda,-34.52688,138.95464,Entire rental unit,Entire home/apt,2,1 bath,1.0,[],$261.00,10,0,0,2016-01-31,2020-03-18,4.3,4.4,4.6,4.6,4.7,4.9,4.1,0.1,barossa_valley_sa
10287444,9380091,within an hour,100%,100%,Tanunda,-34.52677,138.95225,Entire home,Entire home/apt,7,1 bath,5.0,[],$329.00,17,1,0,2016-02-28,2023-05-21,4.24,4.47,4.65,4.94,4.88,4.81,4.25,0.18,barossa_valley_sa
10526299,54276241,within an hour,100%,100%,Kapunda,-34.34184,138.91579,Entire home,Entire home/apt,4,1 bath,2.0,[],$250.00,6,2,0,2022-07-06,2023-01-29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.33,barossa_valley_sa
10619599,9380091,within an hour,100%,100%,Tanunda,-34.52726,138.95267,Entire rental unit,Entire home/apt,4,1 bath,2.0,[],$261.00,3,1,0,2018-07-26,2023-04-30,4.67,4.67,5.0,4.67,5.0,5.0,4.67,0.05,barossa_valley_sa
10634089,9380091,within an hour,100%,100%,Tanunda,-34.52816,138.95295,Private room in guest suite,Private room,4,1 private bath,1.0,[],$261.00,6,0,0,2016-02-14,2017-10-30,4.33,4.5,4.67,4.83,4.83,4.83,4.17,0.06,barossa_valley_sa
10947532,54950628,within an hour,100%,100%,Altona,-34.56985,138.92791,Entire guesthouse,Entire home/apt,2,1 bath,1.0,[],$200.00,347,28,2,2016-02-15,2023-12-05,4.98,4.97,4.99,4.99,4.99,4.96,4.93,3.62,barossa_valley_sa
10971607,48092850,within an hour,100%,100%,Angaston,-34.50109,139.04697,Entire home,Entire home/apt,4,1.5 baths,2.0,[],$600.00,7,0,0,2016-05-04,2018-04-01,5.0,4.83,5.0,5.0,5.0,4.83,5.0,0.08,barossa_valley_sa
11428035,9380091,within an hour,100%,100%,Tanunda,-34.52491,138.95631,Entire home,Entire home/apt,6,2 baths,4.0,[],$354.00,41,1,0,2016-03-20,2023-11-12,4.63,4.71,4.9,4.8,4.83,4.9,4.39,0.43,barossa_valley_sa
11857399,48092850,within an hour,100%,100%,Angaston,-34.49983,139.04583,Entire home,Entire home/apt,4,1.5 baths,2.0,[],$383.00,96,2,0,2016-08-27,2023-11-25,4.94,4.97,4.93,4.94,4.98,4.94,4.75,1.08,barossa_valley_sa
12191413,65531648,within an hour,100%,100%,Kapunda,-34.34006,138.91144,Entire home,Entire home/apt,6,1 bath,4.0,[],$239.00,12,1,0,2016-10-29,2023-01-02,4.58,4.75,4.42,4.83,4.92,4.75,4.33,0.14,barossa_valley_sa
12192423,65531648,within an hour,100%,100%,Kapunda,-34.34327,138.92162,Entire villa,Entire home/apt,6,1 bath,4.0,[],$269.00,103,10,0,2016-05-02,2023-11-03,4.76,4.83,4.57,4.94,4.83,4.71,4.59,1.11,barossa_valley_sa
