id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,Location
21302,81292,2010-02-15,"Lorne, Australia",within an hour,100%,79%,f,t,t,Surf Coast,-38.46329,144.09163,Entire home,Entire home/apt,8,3.5 baths,5.0,[],$400.00,51,1,0,2014-11-11,2023-01-18,4.9,4.96,4.94,4.94,4.98,4.94,4.63,3,2,1,0,0.46,barwon_south_west_vic
27561,119103,2010-05-05,Australia,within a few hours,100%,50%,f,t,t,Surf Coast,-38.34221,144.30398,Entire home,Entire home/apt,9,2.5 baths,6.0,[],$500.00,2,0,0,2019-04-28,2022-04-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,1,1,0,0.04,barwon_south_west_vic
70449,357052,2011-01-22,"Victoria, Australia",within an hour,100%,100%,f,t,t,Colac Otway,-38.32982,143.82842,Entire home,Entire home/apt,6,2 baths,3.0,[],$277.00,53,5,0,2015-01-17,2023-07-29,4.83,4.79,4.92,5.0,4.92,4.81,4.62,1,1,0,0,0.49,barwon_south_west_vic
84516,462049,2011-03-25,"Melbourne, Australia",within a few hours,100%,79%,t,t,t,Moyne,-38.39149,142.22084,Entire home,Entire home/apt,8,2.5 baths,4.0,[],$517.00,141,16,0,2014-04-18,2023-11-19,4.85,4.92,4.86,4.94,4.96,4.95,4.71,1,1,0,0,1.19,barwon_south_west_vic
195168,899909,2011-07-31,"Melbourne, Australia",within an hour,100%,94%,f,t,t,Surf Coast,-38.54025,143.97139,Entire home,Entire home/apt,7,2 baths,5.0,[],$850.00,28,2,0,2011-12-26,2023-04-18,4.82,4.79,4.82,4.93,5.0,4.93,4.71,1,1,0,0,0.19,barwon_south_west_vic
291691,1511087,2011-12-16,"Barwon Heads, Australia",within a few hours,90%,64%,f,t,t,Greater Geelong,-38.27942,144.49073,Entire place,Entire home/apt,3,1 bath,2.0,[],$79.00,79,17,3,2012-03-19,2023-12-14,4.51,4.56,4.44,4.77,4.7,4.84,4.68,2,2,0,0,0.55,barwon_south_west_vic
372470,1875131,2012-03-07,"Lorne, Australia",within an hour,100%,100%,t,t,t,Surf Coast,-38.33816,144.02221,Entire home,Entire home/apt,14,2.5 baths,11.0,[],$993.00,200,34,1,2015-10-14,2023-12-15,4.95,4.9,4.86,4.96,4.97,4.89,4.8,1,1,0,0,2.0,barwon_south_west_vic
479888,2377195,2012-05-15,"Lorne, Australia",within an hour,100%,98%,t,t,t,Surf Coast,-38.54855,143.95517,Entire home,Entire home/apt,6,1 bath,4.0,[],$675.00,75,5,0,2016-02-15,2023-05-22,4.68,4.8,4.64,4.92,4.83,4.88,4.51,5,5,0,0,0.78,barwon_south_west_vic
488599,2417695,2012-05-20,"Geelong, Australia",within an hour,100%,75%,t,t,t,Greater Geelong,-38.15406,144.35685,Entire home,Entire home/apt,6,1.5 baths,4.0,[],$429.00,278,1,0,2013-09-10,2023-04-16,4.83,4.92,4.88,4.95,4.92,4.87,4.77,5,5,0,0,2.22,barwon_south_west_vic
606687,3005560,2012-07-21,"Point Lonsdale, Australia",within an hour,100%,100%,t,t,t,Queenscliffe,-38.2825,144.61339,Entire rental unit,Entire home/apt,4,1 bath,1.0,[],"$2,501.00",360,28,3,2012-09-09,2023-12-16,4.95,4.96,4.96,4.94,4.93,4.99,4.82,1,1,0,0,2.62,barwon_south_west_vic
