id,host_id,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Location
37380,161432,within an hour,100%,84%,Wavell Heights,-27.39613,153.05249,Entire guest suite,Entire home/apt,4,1 bath,2.0,"[""Microwave"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dining table"", ""Free street parking"", ""Laundromat nearby"", ""Cleaning products"", ""Free parking on premises"", ""Hangers"", ""Children\u2019s dinnerware"", ""Body soap"", ""Hair dryer"", ""Central air conditioning"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Free washer \u2013 In unit"", ""Board games"", ""Breakfast"", ""Hot water kettle"", ""Baking sheet"", ""Smoke alarm"", ""Cleaning available during stay"", ""Self check-in"", ""Heating"", ""Iron"", ""Extra pillows and blankets"", ""Gas stove"", ""Toaster"", ""Books and reading material"", ""Shower gel"", ""Essentials"", ""Portable fans"", ""Shampoo"", ""Private backyard \u2013 Fully fenced"", ""Private pool - available all year, open specific hours, saltwater"", ""Conditioner"", ""Long term stays allowed"", ""Kitchen"", ""Crib"", ""Freezer"", ""High chair"", ""Hot water"", ""Cooking basics"", ""Room-darkening shades"", ""50 inch HDTV with Apple TV"", ""Pool view"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Wine glasses"", ""Wifi \u2013 14 Mbps"", ""Lockbox""]",$220.00,46,12,0,2013-02-14,2024-03-24,4.91,4.91,4.96,5.0,5.0,4.93,4.96,0.34,brisbane
277913,1450636,within an hour,100%,100%,Upper Mount Gravatt,-27.5615,153.08549,Entire guest suite,Entire home/apt,2,1 bath,1.0,"[""Microwave"", ""Dishes and silverware"", ""Free street parking"", ""Free parking on premises"", ""Hangers"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Patio or balcony"", ""Smoke alarm"", ""Self check-in"", ""Iron"", ""Keypad"", ""Essentials"", ""Long term stays allowed"", ""Kitchen"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Garden view"", ""Backyard""]",$60.00,147,18,2,2012-04-12,2024-04-28,4.58,4.72,4.39,4.85,4.84,4.81,4.69,1.0,brisbane
325029,1564865,within an hour,100%,99%,West End,-27.48294,153.0108,Entire home,Entire home/apt,3,1 bath,2.0,"[""Electrolux refrigerator"", ""Fire extinguisher"", ""Microwave"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dining table"", ""Free street parking"", ""Cleaning products"", ""Free parking on premises"", ""Hangers"", ""Private patio or balcony"", ""Hair dryer"", ""Central air conditioning"", ""Dishwasher"", ""Bathtub"", ""Oven"", ""Bed linens"", ""Luggage dropoff allowed"", ""Free washer \u2013 In unit"", ""Board games"", ""Ethernet connection"", ""Hot water kettle"", ""BBQ grill"", ""Central heating"", ""Smoke alarm"", ""Self check-in"", ""Outdoor dining area"", ""Iron"", ""Extra pillows and blankets"", ""Safe"", ""Private outdoor kitchen"", ""Toaster"", ""Coffee maker: espresso machine, french press"", ""Coffee"", ""Keypad"", ""Shower gel"", ""Essentials"", ""Exterior security cameras on property"", ""Private backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Clothing storage: wardrobe and dresser"", ""Free dryer \u2013 In building"", ""First aid kit"", ""Kitchen"", ""Freezer"", ""58 inch HDTV with Netflix, Apple TV"", ""Hot water"", ""Cooking basics"", ""Stove"", ""Fire pit"", ""Wifi"", ""Private entrance"", ""Room-darkening shades"", ""Garden view"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Barbecue utensils"", ""Wine glasses"", ""Pets allowed""]",$273.00,184,15,1,2016-01-17,2024-04-12,4.83,4.92,4.68,4.97,4.96,4.91,4.83,1.82,brisbane
540583,2656870,within an hour,100%,99%,Riverhills,-27.56106,152.90842,Private room in home,Private room,1,1 shared bath,1.0,"[""Lock on bedroom door"", ""Microwave"", ""Shared backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dining table"", ""Free street parking"", ""Laundromat nearby"", ""Single level home"", ""Cleaning products"", ""Hangers"", ""Wifi \u2013 9 Mbps"", ""TV"", ""Body soap"", ""Hair dryer"", ""Dishwasher"", ""Electric stove"", ""Bathtub"", ""Oven"", ""Bed linens"", ""Refrigerator"", ""Hot water kettle"", ""Smoke alarm"", ""Self check-in"", ""Outdoor dining area"", ""Exercise equipment"", ""Window guards"", ""Iron"", ""Extra pillows and blankets"", ""Toaster"", ""Books and reading material"", ""Coffee"", ""Shower gel"", ""Essentials"", ""Portable fans"", ""Shampoo"", ""Free washer \u2013 In building"", ""Long term stays allowed"", ""Conditioner"", ""Clothing storage: wardrobe and dresser"", ""Kitchen"", ""First aid kit"", ""Hot water"", ""Ceiling fan"", ""Cooking basics"", ""Shared patio or balcony"", ""Blender"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Wine glasses"", ""Lockbox""]",$37.00,372,84,6,2017-05-15,2024-05-03,4.94,4.94,4.95,4.95,4.95,4.83,4.95,4.37,brisbane
554438,2725619,within an hour,100%,53%,Tarragindi,-27.53652,153.04888,Private room in guest suite,Private room,4,1 private bath,5.0,"[""Microwave"", ""AC - split type ductless system"", ""Dishes and silverware"", ""Free street parking"", ""Cleaning products"", ""Clothing storage: wardrobe"", ""Coffee maker: Nespresso"", ""Hangers"", ""TV"", ""Hair dryer"", ""Body soap"", ""Shared pool"", ""Luggage dropoff allowed"", ""Bed linens"", ""Refrigerator"", ""BBQ grill"", ""Hot water kettle"", ""Rice maker"", ""Smoke alarm"", ""Private living room"", ""Heating"", ""Dryer"", ""Iron"", ""Extra pillows and blankets"", ""Toaster"", ""Books and reading material"", ""Coffee"", ""Smoking allowed"", ""Shower gel"", ""Essentials"", ""Shampoo"", ""Free washer \u2013 In building"", ""Long term stays allowed"", ""Conditioner"", ""Kitchen"", ""First aid kit"", ""High chair"", ""Mini fridge"", ""Hot water"", ""Ceiling fan"", ""Single oven"", ""Cooking basics"", ""Shared patio or balcony"", ""Wifi"", ""Private entrance"", ""Drying rack for clothing"", ""Wine glasses"", ""Shared backyard""]",$200.00,137,2,0,2012-07-07,2023-06-23,4.47,4.57,4.49,4.74,4.76,4.69,4.6,0.95,brisbane
624126,127135,within an hour,100%,100%,South Brisbane,-27.4781,153.01814,Entire rental unit,Entire home/apt,4,2 baths,3.0,"[""Microwave"", ""Elevator"", ""Dishes and silverware"", ""TV with Chromecast"", ""Dining table"", ""Free parking on premises"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""High chair - available upon request"", ""Oven"", ""Bed linens"", ""Refrigerator"", ""Patio or balcony"", ""Smoke alarm"", ""Self check-in"", ""Dryer"", ""Iron"", ""Extra pillows and blankets"", ""Toaster"", ""Shower gel"", ""Essentials"", ""Shampoo"", ""Gym"", ""Kitchen"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Stove"", ""Air conditioning"", ""Wifi"", ""Dedicated workspace"", ""Wine glasses"", ""Pool"", ""Lockbox""]",$288.00,293,27,1,2012-08-11,2024-04-15,4.84,4.93,4.89,4.93,4.96,4.98,4.79,2.05,brisbane
641140,3202696,within an hour,75%,85%,Spring Hill,-27.46342,153.02809,Entire rental unit,Entire home/apt,2,1 bath,1.0,"[""Iron"", ""Cooking basics"", ""Elevator"", ""Air conditioning"", ""Wifi"", ""Gym"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Washer"", ""TV"", ""Pool"", ""Dryer"", ""Hair dryer""]",$146.00,139,4,0,2012-09-19,2024-02-20,4.54,4.66,4.51,4.92,4.87,4.79,4.6,0.98,brisbane
685296,3202696,within an hour,75%,85%,Brisbane City,-27.46372,153.02964,Entire rental unit,Entire home/apt,4,2 baths,3.0,"[""Iron"", ""Cooking basics"", ""Elevator"", ""Air conditioning"", ""Wifi"", ""Essentials"", ""Gym"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Host greets you"", ""Washer"", ""TV"", ""Pool"", ""Dryer"", ""Hair dryer""]",$209.00,152,7,1,2013-07-08,2024-04-16,4.59,4.68,4.46,4.89,4.89,4.89,4.68,1.15,brisbane
720741,2710969,within an hour,100%,83%,Rochedale - Burbank,-27.56861,153.13671,Private room in home,Private room,2,1 private bath,1.0,"[""Lock on bedroom door"", ""Microwave"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dining table"", ""Cleaning products"", ""Clothing storage: wardrobe"", ""Free parking on premises"", ""Hangers"", ""Private patio or balcony"", ""Hair dryer"", ""Courtyard view"", ""Shared pool"", ""Bed linens"", ""Refrigerator"", ""Hot water kettle"", ""Private living room"", ""Heating"", ""Dryer"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Toaster"", ""Shower gel"", ""Essentials"", ""Portable fans"", ""Shampoo"", ""Private backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Panasonic  conditioner"", ""Kitchen"", ""Freezer"", ""Washer"", ""Indoor fireplace"", ""Hot water"", ""Cooking basics"", ""Air conditioning"", ""Wifi"", ""Private entrance"", ""Garden view"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Outdoor kitchen""]",$85.00,31,6,0,2022-04-20,2023-11-06,4.81,4.77,4.68,4.94,4.97,4.77,4.71,1.24,brisbane
774997,3202696,within an hour,75%,85%,Spring Hill,-27.46318,153.02912,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,"[""Elevator"", ""Free parking on premises"", ""Hangers"", ""TV"", ""Paid parking off premises"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Heating"", ""Dryer"", ""Iron"", ""Essentials"", ""Shampoo"", ""Gym"", ""Long term stays allowed"", ""Kitchen"", ""Washer"", ""Hot water"", ""Cooking basics"", ""Air conditioning"", ""Wifi"", ""Pool""]",$140.00,139,11,0,2013-02-26,2024-04-07,4.55,4.75,4.47,4.87,4.93,4.84,4.66,1.02,brisbane
