id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,Location
71825,369209,2011-01-30,"Bellingen, Australia",within an hour,100%,96%,t,t,t,Bellingen,-30.36893,152.88534,Private room in treehouse,Private room,3,1 private bath,3.0,"[""Shared patio or balcony"", ""Shared backyard \u2013 Not fully fenced"", ""Waterfront"", ""Private living room"", ""BBQ grill: gas"", ""Shared outdoor kitchen"", ""Dedicated workspace"", ""Free washer \u2013 In building"", ""Baking sheet"", ""Hot water kettle"", ""Bikes"", ""Books and reading material"", ""Outlet covers"", ""Shower gel"", ""Refrigerator"", ""Portable heater"", ""Dining table"", ""Host greets you"", ""Essentials"", ""Wine glasses"", ""Clothing storage"", ""River view"", ""Hot water"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Children\u2019s bikes"", ""Barbecue utensils"", ""Mosquito net"", ""Dishes and silverware"", ""Portable fans"", ""Outdoor dining area"", ""Free dryer \u2013 In building"", ""Fire pit"", ""Cooking basics"", ""Bed linens"", ""Body soap"", ""Garden view"", ""Extra pillows and blankets"", ""Microwave"", ""Toaster"", ""Cleaning products"", ""Outdoor furniture"", ""Coffee maker: french press"", ""Free carport on premises"", ""Children\u2019s books and toys"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Hair dryer"", ""Free street parking"", ""Valley view""]",$300.00,332,31,2,2012-04-15,2024-04-07,4.95,4.95,4.9,4.95,4.95,4.98,4.83,3,1,2,0,2.27,mid_north_nsw
325891,1666893,2012-01-29,"Koorainghat, Australia",within a few hours,90%,95%,t,t,t,Mid-Coast,-31.96903,152.50838,Entire cottage,Entire home/apt,6,2.5 baths,3.0,"[""Portable air conditioning"", ""Dishwasher"", ""Sound system"", ""Iron"", ""Oven"", ""Luggage dropoff allowed"", ""Breakfast"", ""Self check-in"", ""Coffee maker: pour-over coffee"", ""Shampoo"", ""Hot water kettle"", ""Shower gel"", ""Refrigerator"", ""Dining table"", ""Ceiling fan"", ""BBQ grill"", ""Essentials"", ""Heating"", ""Wine glasses"", ""Freezer"", ""Private entrance"", ""Private patio or balcony"", ""Conditioner"", ""Hot water"", ""Drying rack for clothing"", ""Backyard"", ""Children\u2019s dinnerware"", ""Stove"", ""TV"", ""Free parking on premises"", ""Lockbox"", ""Fire extinguisher"", ""High chair"", ""Kitchen"", ""Barbecue utensils"", ""Dishes and silverware"", ""Portable fans"", ""Outdoor dining area"", ""Clothing storage: wardrobe and dresser"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Extra pillows and blankets"", ""Microwave"", ""Cooking basics"", ""Toaster"", ""Outdoor furniture"", ""Bathtub"", ""Washer"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Indoor fireplace"", ""Hair dryer""]",$196.00,116,2,0,2013-04-01,2024-02-20,4.89,4.91,4.92,4.95,4.93,4.88,4.88,2,2,0,0,0.86,mid_north_nsw
325913,1666893,2012-01-29,"Koorainghat, Australia",within a few hours,90%,95%,t,t,t,Mid-Coast,-31.96723,152.50814,Entire cottage,Entire home/apt,2,1 bath,1.0,"[""Portable air conditioning"", ""Gas stove"", ""Private hot tub"", ""Oven"", ""Iron"", ""Luggage dropoff allowed"", ""Breakfast"", ""Self check-in"", ""Coffee maker: pour-over coffee"", ""Sound system with Bluetooth and aux"", ""Shampoo"", ""Dedicated workspace"", ""Hot water kettle"", ""Books and reading material"", ""Refrigerator"", ""BBQ grill"", ""Ceiling fan"", ""Essentials"", ""Heating"", ""Wine glasses"", ""Freezer"", ""Private entrance"", ""Private patio or balcony"", ""Conditioner"", ""Hot water"", ""Drying rack for clothing"", ""Backyard"", ""Record player"", ""TV"", ""Free parking on premises"", ""Lockbox"", ""Fire extinguisher"", ""Kitchen"", ""Barbecue utensils"", ""Dishes and silverware"", ""Portable fans"", ""Outdoor dining area"", ""Clothing storage: wardrobe and dresser"", ""Cooking basics"", ""Bed linens"", ""Body soap"", ""Extra pillows and blankets"", ""Microwave"", ""Toaster"", ""Outdoor furniture"", ""Bathtub"", ""Washer"", ""Long term stays allowed"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Indoor fireplace"", ""Smoking allowed"", ""Hair dryer""]",$193.00,206,26,4,2014-01-09,2024-04-17,4.94,4.94,4.98,4.97,4.96,4.95,4.9,2,2,0,0,1.65,mid_north_nsw
502508,2479893,2012-05-28,"Nambucca Heads, Australia",within an hour,100%,100%,f,t,t,Nambucca Valley,-30.640458,153.006355,Entire guest suite,Entire home/apt,6,1 bath,3.0,"[""Luggage dropoff allowed"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Hot water kettle"", ""Shower gel"", ""Dining table"", ""Essentials"", ""Single level home"", ""Private patio or balcony"", ""Private entrance"", ""Radiant heating"", ""Hot water"", ""Free parking on premises"", ""High chair"", ""Dishes and silverware"", ""Portable fans"", ""Toaster"", ""Bed linens"", ""Body soap"", ""Microwave"", ""Mini fridge"", ""Outdoor furniture"", ""Cleaning products"", ""HDTV"", ""Wifi"", ""Smoke alarm"", ""Free street parking""]",$117.00,1079,91,5,2012-09-24,2024-04-03,4.45,4.66,4.64,4.8,4.81,4.69,4.73,1,1,0,0,7.66,mid_north_nsw
534462,2626160,2012-06-13,"New South Wales, Australia",within an hour,100%,100%,t,t,t,Nambucca Valley,-30.74711,152.9948,Entire home,Entire home/apt,8,2 baths,6.0,"[""Dishwasher"", ""BBQ grill: gas"", ""Iron"", ""Wifi \u2013 30 Mbps"", ""Self check-in"", ""Laundromat nearby"", ""Crib - always at the listing"", ""Shampoo"", ""Free washer \u2013 In building"", ""Private backyard \u2013 Not fully fenced"", ""Hot water kettle"", ""Shower gel"", ""Refrigerator"", ""Dining table"", ""Essentials"", ""Clothing storage: closet"", ""42 inch HDTV with Netflix"", ""Free carport on premises \u2013 1 space"", ""Wine glasses"", ""Freezer"", ""Private entrance"", ""Private patio or balcony"", ""Conditioner"", ""Hot water"", ""Drying rack for clothing"", ""Radiant heating"", ""Stainless steel oven"", ""Outdoor shower"", ""Electric stove"", ""Lockbox"", ""Fire extinguisher"", ""High chair"", ""First aid kit"", ""Kitchen"", ""Barbecue utensils"", ""Dishes and silverware"", ""Blender"", ""Portable fans"", ""Outdoor dining area"", ""Cooking basics"", ""Bed linens"", ""Body soap"", ""Garden view"", ""Extra pillows and blankets"", ""Microwave"", ""Toaster"", ""Cleaning products"", ""Shared beach access"", ""Outdoor furniture"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Hangers"", ""Smoke alarm"", ""Hair dryer"", ""Free street parking"", ""Room-darkening shades""]",$333.00,250,27,1,2013-03-12,2024-04-07,4.87,4.93,4.79,4.98,4.96,4.97,4.87,1,1,0,0,1.85,mid_north_nsw
737655,359599,2011-01-23,"Forster, Australia",within an hour,100%,100%,t,t,t,Mid-Coast,-32.24756,152.51427,Entire bungalow,Entire home/apt,4,1 bath,2.0,"[""Dishwasher"", ""Sound system with aux"", ""Oven"", ""Iron"", ""Self check-in"", ""Clothing storage: closet and wardrobe"", ""Kayak"", ""Lake view"", ""Shampoo"", ""Free washer \u2013 In building"", ""Baking sheet"", ""Hot water kettle"", ""Building staff"", ""Books and reading material"", ""Shower gel"", ""Refrigerator"", ""Dining table"", ""BBQ grill"", ""Essentials"", ""Heating"", ""20 inch TV"", ""Wine glasses"", ""Private backyard \u2013 Fully fenced"", ""Freezer"", ""Private entrance"", ""Private patio or balcony"", ""Hot water"", ""Drying rack for clothing"", ""Crib"", ""Pets allowed"", ""Free parking on premises"", ""Fire extinguisher"", ""High chair"", ""Kitchen"", ""Barbecue utensils"", ""Dishes and silverware"", ""Portable fans"", ""Outdoor dining area"", ""Free dryer \u2013 In building"", ""Lake access"", ""Cooking basics"", ""Bed linens"", ""Body soap"", ""Extra pillows and blankets"", ""Wifi \u2013 43 Mbps"", ""Microwave"", ""Toaster"", ""Cleaning products"", ""Coffee"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central air conditioning"", ""Hangers"", ""Smoke alarm"", ""Other electric stove"", ""Hair dryer"", ""Free street parking"", ""Hammock""]",$263.00,137,24,3,2013-03-11,2024-04-17,4.87,4.9,4.96,4.99,4.97,4.87,4.8,11,11,0,0,1.01,mid_north_nsw
738621,359599,2011-01-23,"Forster, Australia",within an hour,100%,100%,t,t,t,Mid-Coast,-32.247334,152.514402,Entire home,Entire home/apt,6,1.5 baths,4.0,"[""Dishwasher"", ""Sound system with aux"", ""Oven"", ""Iron"", ""Wifi \u2013 41 Mbps"", ""Kayak"", ""Lake view"", ""Shampoo"", ""Baking sheet"", ""Hot water kettle"", ""Books and reading material"", ""Shower gel"", ""Refrigerator"", ""Portable heater"", ""Ceiling fan"", ""Dining table"", ""Essentials"", ""BBQ grill"", ""Wine glasses"", ""Private backyard \u2013 Fully fenced"", ""Freezer"", ""Private entrance"", ""Private patio or balcony"", ""Hot water"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Crib"", ""Pets allowed"", ""Free parking on premises"", ""Fire extinguisher"", ""High chair"", ""Kitchen"", ""Barbecue utensils"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Portable fans"", ""Outdoor dining area"", ""Lake access"", ""Cooking basics"", ""Bed linens"", ""Body soap"", ""Extra pillows and blankets"", ""Microwave"", ""Indoor fireplace: gas"", ""LG gas stove"", ""Bathtub"", ""Cleaning products"", ""Toaster"", ""Coffee"", ""Outdoor furniture"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Hair dryer"", ""Free street parking"", ""36 inch HDTV with Netflix""]",$290.00,93,8,0,2013-12-29,2024-01-28,4.85,4.94,4.96,4.96,4.96,4.88,4.82,11,11,0,0,0.74,mid_north_nsw
759197,4001699,2012-10-29,"Toorooka, Australia",within a few hours,100%,100%,f,t,t,Kempsey,-30.80909,152.44042,Entire home,Entire home/apt,8,2 baths,6.0,"[""Waterfront"", ""Sound system with aux"", ""Oven"", ""Iron"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Books and reading material"", ""Refrigerator"", ""Dining table"", ""Indoor fireplace: wood-burning"", ""Ceiling fan"", ""Essentials"", ""Single level home"", ""Heating"", ""Wine glasses"", ""Private backyard \u2013 Fully fenced"", ""Freezer"", ""River view"", ""Private entrance"", ""Private patio or balcony"", ""Hot water"", ""Children\u2019s dinnerware"", ""Outdoor shower"", ""Pets allowed"", ""TV"", ""Free parking on premises"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Barbecue utensils"", ""Dishes and silverware"", ""Blender"", ""Portable fans"", ""BBQ grill: wood-burning"", ""Mountain view"", ""Clothing storage: closet and dresser"", ""Free dryer \u2013 In building"", ""Lake access"", ""Fire pit"", ""Fast wifi \u2013 188 Mbps"", ""Outdoor dining area"", ""Cooking basics"", ""Bed linens"", ""Body soap"", ""Extra pillows and blankets"", ""Microwave"", ""Mini fridge"", ""Toaster"", ""Bathtub"", ""Cleaning products"", ""Coffee"", ""Outdoor furniture"", ""Fireplace guards"", ""Central air conditioning"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Other electric stove"", ""Valley view"", ""Room-darkening shades""]",$425.00,22,4,1,2014-12-30,2024-03-31,4.95,4.95,5.0,5.0,5.0,4.86,4.82,1,1,0,0,0.19,mid_north_nsw
767030,4020173,2012-10-31,"Bellingen, Australia",within an hour,100%,93%,t,t,t,Bellingen,-30.44145,152.89598,Entire rental unit,Entire home/apt,4,1 bath,3.0,"[""Oven"", ""Iron"", ""HDTV with DVD player"", ""Luggage dropoff allowed"", ""Breakfast"", ""Self check-in"", ""Carbon monoxide alarm"", ""Shampoo"", ""Free washer \u2013 In building"", ""Private backyard \u2013 Not fully fenced"", ""Refrigerator"", ""Essentials"", ""Single level home"", ""Heating"", ""Private patio or balcony"", ""Private entrance"", ""Hot water"", ""Children\u2019s dinnerware"", ""Stove"", ""Crib"", ""Free parking on premises"", ""Lockbox"", ""High chair"", ""First aid kit"", ""Kitchen"", ""Dishes and silverware"", ""Outdoor dining area"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Extra pillows and blankets"", ""Garden view"", ""Microwave"", ""Cooking basics"", ""Outdoor furniture"", ""Children\u2019s books and toys"", ""Central air conditioning"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Hair dryer"", ""Free street parking""]",$120.00,268,18,5,2012-11-26,2024-04-14,4.84,4.87,4.88,4.98,4.97,4.83,4.79,1,1,0,0,1.93,mid_north_nsw
871019,4590054,2013-01-04,"New South Wales, Australia",within a day,100%,92%,t,t,t,Bellingen,-30.54257,153.01501,Private room in bed and breakfast,Private room,2,1 private bath,1.0,"[""Luggage dropoff allowed"", ""Breakfast"", ""Shampoo"", ""Ceiling fan"", ""Essentials"", ""Dryer"", ""Heating"", ""Backyard"", ""Hot water"", ""Lock on bedroom door"", ""TV"", ""Free parking on premises"", ""Fire extinguisher"", ""Kitchen"", ""Dishes and silverware"", ""Washer"", ""Wifi"", ""Hangers"", ""Smoke alarm"", ""Indoor fireplace"", ""Hair dryer""]",$81.00,501,28,1,2013-01-14,2024-04-02,4.88,4.9,4.8,4.95,4.95,4.88,4.88,1,0,1,0,3.66,mid_north_nsw
