id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,Location
27139886,37195672,2015-07-01,"Mount Martha, Australia",within a few hours,81%,54%,f,t,t,Point Nepean,-38.37449,144.80361,Entire home,Entire home/apt,8,2 baths,4.0,"[""Coffee maker"", ""Air conditioning"", ""Heating"", ""Bed linens"", ""BBQ grill"", ""Free parking on premises"", ""Smoke alarm"", ""Wifi""]",$815.00,6,0,0,2020-01-10,2023-01-02,5.0,4.83,4.67,5.0,5.0,4.67,4.67,70,70,0,0,0.12,mornington_peninsula_vic
13005549,69110492,2016-04-26,"Blairgowrie, Australia",within a few hours,100%,43%,f,t,t,Point Nepean,-38.32230226145023,144.7147274916523,Entire rental unit,Entire home/apt,2,1 bath,1.0,"[""Coffee maker"", ""Air conditioning"", ""Bed linens"", ""TV"", ""Beach access"", ""Backyard""]",$495.00,4,1,0,2021-12-07,2023-12-30,4.0,4.0,4.5,4.75,4.25,4.5,3.75,84,84,0,0,0.14,mornington_peninsula_vic
716988962998071572,21146240,2014-09-09,"Melbourne, Australia",within an hour,93%,96%,f,t,t,Point Nepean,-38.429537,144.845563,Entire home,Entire home/apt,4,2 baths,2.0,"[""Dishwasher"", ""Air conditioning"", ""Kitchen"", ""Lockbox"", ""BBQ grill"", ""Indoor fireplace"", ""Self check-in""]",$443.00,4,4,1,2023-06-12,2024-03-02,4.25,4.5,4.25,4.75,4.0,4.75,4.0,47,47,0,0,0.42,mornington_peninsula_vic
45865803,17578999,2014-07-03,"Victoria, Australia",within a day,100%,78%,t,t,t,Point Nepean,-38.36897,144.81114,Entire home,Entire home/apt,10,2 baths,9.0,"[""Air conditioning"", ""Self check-in"", ""Kitchen"", ""Heating"", ""Essentials"", ""TV"", ""Iron"", ""Lockbox"", ""Washer"", ""Free parking on premises"", ""Pets allowed"", ""Wifi""]",$573.00,4,0,0,2021-04-11,2022-07-06,4.75,4.75,5.0,5.0,5.0,5.0,4.5,70,70,0,0,0.11,mornington_peninsula_vic
770544856128396240,69110492,2016-04-26,"Blairgowrie, Australia",within a few hours,100%,43%,f,t,t,Point Nepean,-38.36873792034782,144.7963237727809,Entire home,Entire home/apt,10,2 baths,7.0,"[""Coffee maker"", ""Dishwasher"", ""Air conditioning"", ""Board games"", ""Kitchen"", ""Bed linens"", ""Hair dryer"", ""TV"", ""Backyard"", ""Washer"", ""BBQ grill"", ""Free parking on premises"", ""Dryer"", ""Pets allowed"", ""Indoor fireplace"", ""Beach access"", ""Wifi"", ""Bathtub"", ""Refrigerator""]",$495.00,1,1,0,2023-04-24,2023-04-24,4.0,4.0,4.0,4.0,3.0,5.0,4.0,84,84,0,0,0.09,mornington_peninsula_vic
16302648,41668222,2015-08-16,"Victoria, Australia",within an hour,92%,77%,f,t,t,Hastings - Somers,-38.39429,145.16259,Entire home,Entire home/apt,9,3 baths,5.0,"[""Microwave"", ""Air conditioning"", ""Dishwasher"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Heating"", ""Bed linens"", ""TV"", ""Lockbox"", ""Washer"", ""Free parking on premises"", ""Indoor fireplace"", ""Self check-in"", ""Oven"", ""Refrigerator""]",$530.00,6,1,0,2017-01-15,2023-04-12,4.67,4.5,4.33,4.83,4.67,5.0,4.17,66,66,0,0,0.07,mornington_peninsula_vic
20909915,150256635,2017-09-12,"Melbourne, Australia",within an hour,100%,100%,f,t,t,Mount Martha,-38.28929,144.99399,Entire home,Entire home/apt,10,2.5 baths,7.0,"[""Hair dryer"", ""Essentials"", ""Hot water"", ""Fireplace guards"", ""Private entrance"", ""Lockbox"", ""Dryer"", ""Indoor fireplace"", ""Self check-in"", ""Dishes and silverware"", ""Outdoor furniture"", ""Microwave"", ""Dishwasher"", ""Outdoor dining area"", ""Room-darkening shades"", ""Cooking basics"", ""Private patio or balcony"", ""Bathtub"", ""Children\u2019s dinnerware"", ""Stove"", ""Coffee maker"", ""Private backyard \u2013 Fully fenced"", ""Hangers"", ""Kitchen"", ""Bay view"", ""Heating"", ""Iron"", ""AC - split type ductless system"", ""Free parking on premises"", ""Smoke alarm"", ""Pack \u2019n play/Travel crib"", ""Shampoo"", ""Refrigerator"", ""Game console"", ""Baby bath"", ""TV"", ""Washer"", ""BBQ grill"", ""High chair"", ""Beach access"", ""Wifi"", ""Oven""]",$508.00,68,3,0,2017-10-05,2023-11-28,4.79,4.79,4.81,4.97,4.97,4.87,4.56,1,1,0,0,0.86,mornington_peninsula_vic
53663207,47612005,2015-10-28,"Victoria, Australia",within an hour,100%,95%,t,t,t,Mornington - East,-38.2255,145.05342,Entire home,Entire home/apt,6,1.5 baths,3.0,"[""Ceiling fan"", ""Hair dryer"", ""Hot water"", ""Lockbox"", ""Public or shared beach access"", ""Dryer \u2013\u00a0In unit"", ""Dining table"", ""Central heating"", ""Dedicated workspace"", ""Shower gel"", ""Self check-in"", ""Microwave"", ""Dishwasher"", ""Outdoor dining area"", ""Cleaning products"", ""Body soap"", ""Rice maker"", ""Extra pillows and blankets"", ""Pets allowed"", ""Bathtub"", ""Conditioner"", ""Stove"", ""Air conditioning"", ""Hangers"", ""Kitchen"", ""Iron"", ""Clothing storage"", ""Hot water kettle"", ""Free parking on premises"", ""Smoke alarm"", ""Refrigerator"", ""Shampoo"", ""Toaster"", ""Bed linens"", ""Exercise equipment"", ""Wine glasses"", ""TV"", ""Washer"", ""BBQ grill"", ""Wifi"", ""Freezer""]",$427.00,75,41,3,2021-12-25,2024-03-10,4.8,4.73,4.75,4.97,4.99,4.61,4.57,1,1,0,0,2.74,mornington_peninsula_vic
49537508,22507663,2014-10-13,"Melbourne, Australia",within an hour,100%,97%,t,t,t,Rosebud - McCrae,-38.37513,144.91136,Entire home,Entire home/apt,4,1.5 baths,2.0,"[""HDTV with Chromecast, Netflix"", ""Hair dryer"", ""Essentials"", ""BBQ grill: gas"", ""Hot water"", ""Private entrance"", ""Lockbox"", ""Dining table"", ""Central heating"", ""Dedicated workspace"", ""Shower gel"", ""Fire extinguisher"", ""Dishes and silverware"", ""Outdoor furniture"", ""Self check-in"", ""Microwave"", ""Dishwasher"", ""Board games"", ""Outdoor dining area"", ""Samsung refrigerator"", ""Cleaning products"", ""Clothing storage: closet and wardrobe"", ""Portable fans"", ""Drying rack for clothing"", ""Cooking basics"", ""Private patio or balcony"", ""Long term stays allowed"", ""Pets allowed"", ""Bathtub"", ""Conditioner"", ""Bosch stainless steel oven"", ""Private backyard \u2013 Fully fenced"", ""Hangers"", ""Free washer \u2013 In building"", ""Kitchen"", ""Bosch stainless steel gas stove"", ""AC - split type ductless system"", ""Hot water kettle"", ""Free parking on premises"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Bed linens"", ""Wine glasses"", ""Security cameras on property"", ""Wifi"", ""Freezer""]",$262.00,57,24,1,2021-06-20,2024-03-17,4.95,4.98,4.93,5.0,4.98,4.89,4.88,1,1,0,0,1.7,mornington_peninsula_vic
38171956,110689406,2017-01-09,"Mornington, Australia",within an hour,99%,95%,t,t,t,Mornington - West,-38.2313232421875,145.03866577148438,Entire home,Entire home/apt,5,1.5 baths,3.0,"[""Heating - split type ductless system"", ""Hair dryer"", ""Essentials"", ""Gas stove"", ""Hot water"", ""Private entrance"", ""BBQ grill: gas"", ""Lockbox"", ""Free street parking"", ""Children\u2019s books and toys"", ""Self check-in"", ""Dishes and silverware"", ""Outdoor furniture"", ""Microwave"", ""Dishwasher"", ""Single level home"", ""Drying rack for clothing"", ""Cooking basics"", ""Extra pillows and blankets"", ""Backyard"", ""Hangers"", ""Kitchen"", ""Patio or balcony"", ""Iron"", ""AC - split type ductless system"", ""Hot water kettle"", ""Free parking on premises"", ""Smoke alarm"", ""Refrigerator"", ""Single oven"", ""Toaster"", ""Bed linens"", ""Wine glasses"", ""TV"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Freezer""]",$321.00,126,22,2,2019-09-22,2024-03-11,4.96,4.94,4.88,4.97,4.97,4.91,4.83,47,47,0,0,2.3,mornington_peninsula_vic
