id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,Location
31474873,157735828,2017-11-07,"Busselton, Australia",within an hour,100%,100%,t,t,t,BUSSELTON,-33.67077,115.35525,Private room in home,Private room,2,1 private bath,1.0,[],$605.00,5,0,0,2019-01-28,2019-11-30,5.0,5.0,5.0,5.0,4.8,4.8,5.0,5,4,1,0,0.08,wa
27258607,119542984,2017-03-06,"Perth, Australia",within an hour,90%,98%,t,t,t,BUSSELTON,-33.6599,115.26768,Entire home,Entire home/apt,4,2 baths,4.0,[],$227.00,79,15,0,2018-10-04,2023-11-16,4.97,4.96,4.9,4.97,4.99,4.9,4.9,3,3,0,0,1.24,wa
1025558397774007798,298718719,2019-09-29,"Perth, Australia",within an hour,100%,93%,t,t,t,PERTH,-31.946367184800312,115.85286437429497,Entire rental unit,Entire home/apt,4,1 bath,2.0,[],$230.00,2,2,2,2023-12-03,2023-12-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,32,32,0,0,2.0,wa
22168022,511967,2011-04-15,"Dunsborough, Australia",within an hour,99%,98%,t,t,t,BUSSELTON,-33.75117,115.03158,Entire home,Entire home/apt,6,3 baths,4.0,[],$733.00,11,3,0,2019-10-05,2023-02-20,4.82,4.45,4.73,4.82,4.73,4.82,4.55,119,119,0,0,0.21,wa
36528628,43041432,2015-08-31,"Bramley, Australia",within an hour,100%,100%,f,t,t,AUGUSTA-MARGARET RIVER,-33.99128,114.99669,Entire townhouse,Entire home/apt,6,2 baths,5.0,[],$460.00,36,7,1,2019-10-14,2023-12-04,4.67,4.53,4.58,4.92,4.92,4.92,4.42,9,9,0,0,0.7,wa
690191973270943322,8477783,2013-08-27,"Perth, Australia",within a few hours,100%,100%,f,t,t,BUSSELTON,-33.6405753301744,115.02975138776628,Entire home,Entire home/apt,6,2 baths,5.0,[],"$1,364.00",4,3,0,2022-08-13,2023-01-29,4.5,4.75,4.75,5.0,4.5,5.0,4.25,1,1,0,0,0.24,wa
8245427,3017162,2012-07-22,"Western Australia, Australia",within a day,73%,62%,f,t,t,PERTH,-31.9518,115.85537,Entire rental unit,Entire home/apt,2,1 bath,1.0,[],$181.00,275,38,2,2015-09-14,2023-12-09,4.78,4.83,4.8,4.87,4.88,4.94,4.64,1,1,0,0,2.73,wa
53925230,233216654,2018-12-29,"Western Australia, Australia",within a few hours,100%,89%,t,t,t,BROOME,-16.9444,122.7549,Private room in farm stay,Private room,2,2 shared baths,1.0,[],$257.00,1,0,0,2022-09-09,2022-09-09,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8,3,4,1,0.06,wa
861815320488214032,100820345,2016-10-22,"Albany, Australia",within an hour,99%,100%,t,t,t,ALBANY,-35.01634,117.90545,Entire home,Entire home/apt,6,2 baths,4.0,[],$650.00,24,24,2,2023-04-25,2023-12-15,4.67,4.71,4.75,4.67,4.67,4.79,4.71,38,33,5,0,2.96,wa
28445041,15360130,2014-05-11,"Busselton, Australia",within an hour,92%,93%,t,t,t,BUSSELTON,-33.61437,115.1099,Entire home,Entire home/apt,6,2 baths,4.0,[],$242.00,148,32,2,2018-11-04,2023-12-11,4.9,4.91,4.85,4.96,4.95,4.98,4.7,86,86,0,0,2.37,wa
732027752029735032,425993564,2021-10-05,"Kalbarri, Australia",within an hour,93%,100%,f,t,t,NORTHAMPTON,-27.71494,114.16173,Entire rental unit,Entire home/apt,5,1 bath,3.0,[],$199.00,1,1,0,2023-04-10,2023-04-10,5.0,4.0,5.0,5.0,4.0,4.0,5.0,92,92,0,0,0.12,wa
42481589,242684095,2019-02-12,"Bridgetown, Australia",within an hour,100%,100%,t,t,t,BRIDGETOWN-GREENBUSHES,-33.99849,116.15744,Farm stay,Entire home/apt,6,1 bath,5.0,[],$195.00,28,9,3,2020-06-28,2023-12-11,4.89,5.0,4.75,5.0,4.96,4.96,4.82,4,4,0,0,0.66,wa
49690972,73686458,2016-05-24,"Gingin, Australia",within an hour,80%,99%,f,t,t,GINGIN,-31.02283,115.32928,Entire home,Entire home/apt,6,1 bath,3.0,[],$213.00,3,1,0,2021-10-04,2023-09-19,4.0,5.0,3.33,4.67,4.0,5.0,3.67,79,79,0,0,0.11,wa
45804842,6363222,2013-05-13,"Bunbury, Australia",within an hour,100%,100%,f,t,t,BUNBURY,-33.3388,115.62582,Entire home,Entire home/apt,5,1 bath,3.0,[],$325.00,67,4,0,2021-01-02,2023-10-08,4.99,4.96,4.96,5.0,5.0,4.97,4.84,1,1,0,0,1.85,wa
49690951,73686458,2016-05-24,"Gingin, Australia",within an hour,80%,99%,f,t,t,GINGIN,-31.02335,115.33033,Entire rental unit,Entire home/apt,6,1 bath,3.0,[],$213.00,4,1,0,2021-12-05,2023-08-20,3.75,3.75,4.0,3.75,3.75,4.5,2.75,79,79,0,0,0.16,wa
36297000,269664436,2019-06-19,"Exmouth, Australia",within an hour,100%,99%,f,t,t,EXMOUTH,-21.93174,114.12657,Entire villa,Entire home/apt,2,1 bath,1.0,[],$344.00,21,0,0,2020-03-22,2022-07-26,3.38,4.1,4.0,4.38,4.19,4.38,3.38,39,38,1,0,0.46,wa
